included_for_analysis,start_date,progress,duration,finished,informed_consent,fruit_answer,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,control_engagement_1,control_engagement_2,control_description,proximal_engagement_1,proximal_engagement_2,proximal_description,distal_engagement_1,distal_engagement_2,distal_description,concerned,serious_impact,likely,relative_importance,mitigation_intention_1,mitigation_intention_2,mitigation_intention_3,mitigation_intention_4,mitigation_intention_5,mitigation_intention_6,mitigation_intention_7,policy_support_1,policy_support_2,policy_support_3,policy_support_4,PD_1,PD_2,PD_3,PD_4,math,PD_5,PD_6,PD_7,PD_8,efficacy_1,efficacy_2,efficacy_3,efficacy_4,experience,damage_1,damage_2,age,gender,gender_text,race,ethnicity,education,fossil_fuel,zip_code,zip_code_duration,political_party,political_party_text,political_scale,condition
2,3/14/23 9:11,100,1021,1,1,5,7,7,7,7,7,7,7,7,7,7,7,7,6,7,5,10,10,WE ALL NEED TO HELP SAVE THIS PLANET AND THE WORLD WE LIVE IN.,,,,,,,7,7,7,7,4,3,1,4,5,2,4,5,3,4,4,2,2,1,5,5,2,2,2,3,4,4,5,5,2,,,8,1,,1,2,2,3,79414,1997,3,,4,control
2,3/14/23 8:18,100,1031,1,1,5,6,5,6,6,5,5,6,7,6,4,3,3,6,5,6,11,10,This describes a report from a agency within the UN stating that the climate change is causing severe weather changes within the world,,,,,,,4,3,3,2,3,4,1,3,1,1,4,3,1,3,1,3,1,3,3,5,4,1,3,1,3,3,3,3,1,4,5,9,2,,"1,6",1,4,3,78109,2022,3,,4,control
1,3/27/23 22:03,100,47687,1,1,5,7,5,7,7,7,7,7,7,5,7,7,5,4,5,7,12,12,Very Persuasive,,,,,,,4,4,5,4,2,3,2,2,2,4,4,3,3,3,3,3,3,3,5,5,3,3,3,2,3,3,4,3,2,,,6,2,,2,2,2,3,77093,2019,3,,4,control
0,3/29/23 5:25,100,442,1,1,5,6,4,5,3,6,6,6,6,6,3,5,4,3,5,4,11,10,I would not know,,,,,,,3,4,3,4,4,3,3,3,2,3,4,3,3,3,3,3,3,3,3,5,3,3,3,2,3,3,3,3,1,1,6,7,1,,1,2,2,3,77520,2022,3,,4,control
1,3/29/23 10:47,100,501,1,1,5,4,4,4,5,4,5,3,7,4,3,3,4,4,4,4,12,10,Informative ,,,,,,,4,7,5,5,4,4,2,2,4,4,4,4,3,4,3,2,3,4,4,5,2,2,2,5,4,4,5,5,2,,,6,2,,1,2,4,3,76065,2014,3,,3,control
2,3/14/23 10:10,100,1065,1,1,5,7,7,7,7,7,7,7,7,4,2,7,4,5,4,5,12,12,Climate change is real and has consequences that affect everyone from where they live to surviving long term with extremes.,,,,,,,7,7,7,7,3,4,2,3,2,2,3,4,4,3,1,1,2,5,5,5,1,2,3,5,4,3,4,3,1,2,5,9,2,,1,2,2,3,77375,1996,3,,3,control
1,3/29/23 12:17,100,362,1,1,5,7,7,7,7,7,7,7,7,7,5,6,5,7,6,7,12,11,It’ss very educational paragraph. ,,,,,,,7,7,7,7,1,5,3,5,4,3,5,4,3,4,3,1,1,3,5,5,1,1,2,3,5,5,3,5,1,7,7,6,2,,"2,4",2,5,3,75069,2010,4,,4,control
2,3/14/23 8:08,100,1069,1,1,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,12,12,The is going going through a change of climate and that God is taking to us ,,,,,,,6,6,6,5,4,2,2,2,2,2,4,3,1,3,2,2,3,4,5,5,3,3,3,5,4,4,4,3,2,,,8,2,,1,2,2,3,78155,1961,1,,7,control
0,3/29/23 20:40,100,565,1,1,5,5,7,6,1,6,6,3,2,7,2,5,6,6,4,7,10,10,Describing things to family and friends.,,,,,,,3,1,3,1,5,3,4,5,3,2,4,2,2,2,3,4,4,3,4,5,4,5,4,3,4,4,3,4,1,1,4,7,2,,1,2,2,3,78624,2000,3,,4,control
2,3/17/23 7:06,100,1129,1,1,5,7,7,6,7,7,7,7,7,6,5,6,7,6,7,7,12,12,That because of humans we are changing the earth and its our fault that these events happen,,,,,,,7,7,7,7,4,2,1,1,1,1,3,5,4,5,3,2,1,4,5,5,1,1,4,4,4,5,5,5,2,,,5,1,,1,1,5,3,75235,1993,4,,2,control
2,4/2/23 15:32,100,1131,1,1,5,7,7,7,7,7,7,7,7,7,5,6,2,6,6,6,12,12,climate change is for real and don';t let anyone tell you it is not.,,,,,,,7,7,7,6,5,3,3,2,1,1,4,5,4,5,5,1,1,5,5,5,1,1,1,5,5,5,4,5,2,,,9,1,,1,2,4,2,75094,2023,3,,3,control
2,3/18/23 18:25,100,1147,1,1,5,6,6,5,7,7,7,6,5,6,4,4,5,5,7,5,11,11,There are catastrophic weather events happening like prolonged heat,,,,,,,4,5,5,4,3,2,1,2,3,3,1,2,4,3,3,2,3,3,4,5,3,2,3,4,3,4,4,4,2,,,6,2,,1,2,2,3,75211,2017,3,,4,control
0,3/14/23 10:11,100,195,1,1,5,3,4,6,5,5,5,5,4,5,6,5,5,5,4,5,,,,11,11,Ido,,,,5,4,4,4,4,3,5,3,3,3,3,1,5,4,2,4,3,3,4,3,3,5,4,2,3,3,3,2,1,6,4,4,2,,2,1,6,3,76707,3days ago 2023,3,,3,proximal
1,3/30/23 12:06,100,1143,1,1,5,7,6,7,7,7,6,7,7,6,7,7,4,7,7,7,12,12,Its very informative and believable,,,,,,,7,7,7,7,4,2,2,2,4,4,3,3,3,3,3,1,2,2,2,5,1,1,1,5,5,5,5,5,1,4,6,8,2,,1,2,4,3,77632,1966,3,,4,control
0,3/31/23 21:14,100,318,1,1,5,7,6,6,2,6,6,6,6,7,6,6,6,4,6,7,12,12,I’m not sure,,,,,,,1,2,7,4,1,3,5,5,5,1,5,3,3,3,3,3,4,5,4,5,1,5,3,3,5,4,4,4,1,1,4,5,2,,2,2,3,3,76209,5,3,,4,control
2,3/29/23 10:59,100,1194,1,1,5,7,7,7,7,7,6,7,7,7,4,7,4,7,7,6,11,10,"Make it a habit to watch the news reports and be prepared for what is coming. If you and your family are not able to prepare for the strong weather, go to a shelter.  ",,,,,,,6,6,6,6,4,4,2,4,1,3,4,4,4,4,3,2,2,5,5,5,3,2,1,4,4,4,4,4,2,,,10,2,,1,2,4,3,77351,1984,1,,4,control
0,3/14/23 9:58,100,1080,1,1,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,12,12,These paragraphs discuss climate change and its effect on weather.,7,7,6,7,2,3,4,4,5,4,5,5,5,4,1,1,1,5,5,5,1,1,1,4,4,2,5,5,2,,,10,2,,1,2,2,3,78654,12010,4,,2,distal
2,4/2/23 21:53,100,1235,1,1,5,7,6,6,7,7,7,7,7,6,6,6,5,7,6,5,11,11, The weather is unpredictable and it is what it is. We just have to do the best we can to live with it and prepare for what ever is headed our way.,,,,,,,4,5,5,4,5,1,1,1,2,2,4,2,1,3,4,4,3,3,5,5,4,3,4,4,3,3,3,3,2,,,10,2,,1,2,3,3,75402,2018,1,,7,control
2,3/14/23 8:29,100,1236,1,1,5,7,7,7,7,7,7,7,7,7,6,6,6,7,6,7,12,12,I would say that the climate changing presently occurring are critically affecting nature and human interaction and security.,,,,,,,7,6,6,6,2,4,3,5,2,2,4,3,3,4,5,1,2,5,5,5,1,1,1,5,5,5,4,5,2,,,10,1,,1,2,6,3,79370,2000,1,,6,control
2,3/18/23 21:06,100,1260,1,1,5,6,7,7,7,5,6,7,7,7,7,5,3,6,7,7,11,8,There's a group of liberals and they are trying to say that climate change is causing all the bad weather ,,,,,,,1,1,1,1,5,1,1,1,5,1,1,3,1,1,1,3,1,1,1,5,5,1,5,1,1,1,5,1,1,1,6,9,1,,1,2,2,3,76031,1994,1,,7,control
2,3/14/23 8:37,100,1531,1,1,5,5,5,5,7,5,5,5,7,6,4,4,5,6,5,7,12,10,This is a paragraph describes some general consequences of climate change according to the IPCC. ,,,,,,,2,2,2,2,1,4,1,2,1,1,2,4,2,4,1,3,3,2,2,5,4,3,4,3,3,3,4,4,1,4,4,8,2,,1,2,5,3,75075,2007,3,,4,control
0,4/2/23 1:27,100,198,1,1,5,5,5,5,5,5,6,5,7,5,5,5,5,4,5,4,12,12,I don't know ,,,,,,,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,,,5,2,,1,2,2,3,78211,2017,4,,4,control
2,3/18/23 20:55,100,1551,1,1,5,6,5,5,6,5,6,7,7,6,6,5,7,3,6,6,12,10,It's research about weather and catastrophe around the world,,,,,,,1,6,5,3,5,1,1,2,2,5,2,3,3,3,3,3,2,3,4,5,3,2,4,2,2,2,2,2,1,1,5,6,2,,1,2,2,3,76082,2000,5,,4,control
2,3/14/23 10:08,100,1732,1,1,5,4,4,3,6,3,6,6,7,5,4,4,5,6,5,7,12,9,This is written by a climate activist.,,,,,,,2,2,1,3,5,2,1,1,1,1,2,5,1,1,5,4,3,4,4,5,4,3,4,1,4,4,2,2,1,1,2,9,2,,1,2,6,3,78259,2015,1,,5,control
0,3/14/23 10:16,100,152,1,1,5,5,5,6,2,2,5,3,3,3,6,3,5,2,5,3,,,,11,11,There was a disaster back theb,,,,4,4,5,4,2,2,4,2,3,3,3,3,3,3,4,4,3,4,4,2,4,4,4,4,4,3,3,4,1,4,5,4,1,,1,1,2,2,75254,2015,1,,4,proximal
2,3/27/23 19:43,100,1756,1,1,5,7,5,5,6,7,6,7,7,5,3,4,4,5,5,5,11,11,"Extreme weather events are becoming more frequent and severe.
Heavy rainfall, prolonged heat, more hurricanes. These disasters can led to loss of lives and damage to biodiversity, health, infrastructure, and the economy.",,,,,,,6,7,5,4,3,3,4,5,1,1,4,4,3,3,3,2,2,3,4,5,2,2,2,3,4,4,4,5,1,2,3,6,2,,1,2,4,3,78229,2018,3,,4,control
0,3/14/23 10:12,100,416,1,1,5,7,3,7,7,7,7,6,7,5,4,5,3,5,7,6,,,,12,12,That climate change is indeed cause stronger weather events around the world. Storms are getting stronger.,,,,7,7,7,7,2,3,1,1,5,1,5,5,5,5,5,1,1,5,5,1,1,1,1,5,5,5,5,5,1,4,4,7,1,,1,2,5,3,77364,2012,1,,5,proximal
2,3/18/23 12:41,100,1770,1,1,5,5,4,4,6,2,7,6,5,3,1,1,1,6,7,7,10,10,About the climate change and effects on earth,,,,,,,3,7,7,5,4,1,2,2,2,3,2,3,1,4,2,3,4,4,4,5,2,3,2,1,3,3,3,4,1,3,7,6,2,,1,2,4,3,77077,2020,3,,4,control
2,3/27/23 13:38,100,1779,1,1,5,3,4,4,6,6,4,7,7,7,4,4,5,1,5,5,12,12,This is about climate change and describes various disasters and how it has affected peoples lives. ,,,,,,,5,5,3,3,4,3,1,3,5,1,4,2,3,1,3,3,3,3,3,5,3,3,4,3,3,3,3,4,2,,,9,2,,1,2,3,3,76707,2000,1,,4,control
1,4/2/23 20:32,100,317,1,1,5,6,5,6,6,4,6,5,6,4,6,7,5,5, ,7,12,11,That it was very informative about issues I wasn't aware of,,,,,,,7,5,6,5,4,4,3,4,3,3,3,5,4,3,4,5,5,2,5,5,3,4,3,4,3,5,5,5,2,,,6,1,,6,1,3,3,78226,2000,2,,1,control
2,3/28/23 1:50,100,1781,1,1,5,6,5,5,6,4,6,6,6,4,3,4,6,3,6,4,12,12,It describes the impact of global climate change,,,,,,,6,5,5,4,3,2,3,5,3,2,4,4,4,4,4,3,4,4,4,5,2,5,2,4,4,4,4,4,2,,,6,2,,1,1,1,3,79549,1985,5,I don't vote,4,control
2,3/27/23 11:26,100,1978,1,1,5,7,7,7,7,6,6,7,5,7,6,5,6,4,6,4,11,11,Gives you a little bit of the views of some people who are interested in the climate change and the way it may be the next big thing to get the cause of more bad weather. ,,,,,,,6,6,7,5,4,4,1,1,2,4,4,5,2,5,4,1,1,5,5,5,1,1,1,5,4,4,4,5,1,5,5,10,1,,1,2,5,3,76692,2022,4,,4,control
2,3/17/23 10:34,100,2446,1,1,5,7,7,7,7,7,7,7,7,7,7,2,5,5,5,5,12,12,That the climate change is causing extremely bad weather & easy to understand. ,,,,,,,7,7,5,7,5,1,1,1,3,1,5,5,4,5,4,4,2,4,5,5,1,2,3,4,1,1,1,4,1,1,5,10,2,,1,2,2,3,77802,1970,1,,7,control
0,3/14/23 10:28,100,240,1,1,5,6,6,6,7,7,5,7,6,7,6,6,5,6,6,6,,,,,,,11,11,I don’t. Know ,4,5,5,4,3,1,1,1,1,4,1,3,2,3,2,3,4,3,3,5,3,4,4,4,4,3,4,4,1,4,4,6,2,,6,1,3,3,75075,75075,4,,1,distal
0,3/14/23 10:24,100,540,1,1,5,4,4,3,3,4,4,4,4,3,4,4,3,5,4,4,,,,10,10,I don’t know ,,,,4,4,4,4,1,2,1,1,1,1,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,5,7,2,,2,2,2,3,77703,77703,3,,4,proximal
2,3/14/23 8:15,100,3572,1,1,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,12,12,"The steady ongoing storms that have been pummeling the entire country has been too much to take in nowadays. And that's where 'Climate Change ' comes in at. Slowly but surely, the world is seeing how vastly everywhere is melting away.",,,,,,,1,4,1,7,5,1,1,1,1,1,1,5,1,5,5,5,5,1,1,5,5,5,5,5,1,1,4,5,1,6,7,5,1,,2,2,4,3,77640,1991,4,,1,control
2,3/18/23 21:30,100,10793,1,1,5,6,4,6,7,7,7,7,7,7,4,4,5,5,5,6,12,12,I would describe this paragraph to a friend or family member as one about climate change and its affect on the environment. ,,,,,,,7,7,7,7,4,1,4,4,1,2,1,5,5,5,5,1,1,5,5,5,1,1,1,5,5,5,5,5,1,6,6,8,2,,2,2,6,3,77021,1983,4,,1,control
1,3/27/23 16:18,69,231,0,1,5,2,5,2,7,2,5,5,5,4,5,7,4,6,  ,1,10,9,Really bad ,,,,,,,4,4,4,4,2,1,5,5,4,3,1,4,5,3,1,4,1,4,5,5,1,3,5,3,2,5,3,3,2,,,,,,,,,,,,,,,control
2,3/19/23 3:33,100,26496,1,1,5,7,6,7,7,7,7,6,7,6,5,6,5,6,6,5,12,11,Description of how climate change affects our weather ,,,,,,,5,5,4,3,2,4,4,4,3,2,2,4,3,4,4,2,2,4,4,5,2,2,2,4,4,4,4,4,2,,,7,2,,1,2,2,3,76126,2022,3,,3,control
1,3/13/23 8:00,100,402,1,1,5,5,3,4,3,2,6,6,7,6,3,4,4,4,5,2,,,,,,,10,10,lots of big words. confusing. ,1,2,2,2,2,1,1,3,1,2,3,1,2,3,1,3,3,4,4,5,1,3,4,1,3,2,1,4,1,6,4,6,2,,1,2,5,2,78102,2014,4,,3,distal
1,3/13/23 8:04,100,342,1,1,5,6,6,6,6,6,6,6,6,6,5,5,3,4,6,6,,,,,,,11,11,These articles are informative and tel me something important I need to be aware of,5,6,4,5,2,4,2,4,5,2,4,4,4,4,4,2,2,4,4,5,2,2,2,3,4,4,4,4,2,,,7,2,,1,2,5,2,78664,2019,3,,6,distal
0,3/14/23 10:31,100,758,1,1,5,4,7,5,7,7,7,7,7,7,3,4,3,3,4,3,,,,,,,10,10,I read where climate change is causing more intense tropical weather and we should prepare ourselves,4,3,4,3,1,4,1,1,2,1,1,3,2,4,3,3,3,3,3,1,4,3,3,2,4,5,4,5,1,3,5,8,1,,1,2,2,3,77351,2021,1,,5,distal
2,3/14/23 8:29,100,204,1,1,5,6,4,6,6,3,6,6,6,6,6,6,6,6,6,6,,,,,,,10,10,They are talking about climate change.,1,1,1,1,3,3,3,3,3,3,3,2,2,2,2,4,4,4,4,5,4,4,4,4,3,3,3,3,2,,,10,2,,1,2,3,3,76177,1990,1,,7,distal
2,3/18/23 16:47,100,222,1,1,5,5,4,5,4,4,5,5,6,6,6,7,5,5,6,6,,,,,,,11,11,Tornadoes are sign of global warming.,5,5,4,5,4,4,5,4,4,4,4,4,5,4,4,3,4,4,4,5,3,4,3,3,4,4,4,4,2,,,6,1,,1,2,4,3,75961,2020,1,,6,distal
2,3/14/23 12:43,100,243,1,1,5,6,5,7,4,5,4,5,6,5,6,6,5,4,5,5,,,,,,,11,12,A strong weather is coming and we need to be prepared for it.,7,7,5,6,3,3,2,4,4,5,5,4,2,4,2,3,5,3,4,5,4,5,4,4,4,4,3,4,2,,,4,2,,1,1,6,2,77401,2021,3,,4,distal
2,3/14/23 14:14,100,254,1,1,5,3,3,5,4,4,5,5,6,5,4,5,3,4,5,4,,,,,,,11,11,Climate change articles.   I don't believe in it,1,1,1,1,5,2,2,3,2,4,2,3,3,3,3,5,5,1,1,5,5,3,1,3,1,1,3,3,2,,,8,2,,1,2,6,3,78023,2000,1,,6,distal
2,3/14/23 23:15,100,261,1,1,5,6,7,6,6,7,6,7,7,7,3,7,5,7,7,6,,,,,,,11,10,Climate change is believed to cause natural disasters such as cyclones,5,6,6,6,4,4,3,5,4,3,5,4,4,4,4,5,5,4,5,5,5,5,4,5,5,5,4,5,1,3,3,5,2,,1,2,3,3,77523,2020,3,,4,distal
0,3/14/23 8:08,100,516,1,1,5,7,7,7,7,7,7,7,7,2,2,5,2,4,1,4,,,,,,,12,12,Read for yourself ,4,4,4,4,4,1,1,1,4,1,1,4,2,3,4,2,3,3,3,5,2,4,3,1,2,2,3,4,1,2,4,9,2,,1,2,3,3,76667,1969,1,,4,distal
2,3/14/23 9:04,100,262,1,1,5,4,4,4,4,4,4,2,4,4,2,2,4,4,4,4,,,,,,,10,10,Cyclone is dangerous.,4,4,3,4,3,3,3,3,2,2,3,3,4,3,3,3,3,3,3,5,3,3,3,3,2,3,3,4,2,,,4,2,,7,2,3,3,76209,2023,3,,4,distal
2,3/14/23 10:05,100,264,1,1,5,5,4,4,5,1,6,5,7,6,1,2,3,5,5,5,,,,,,,11,8,"Massive flooding from hurricanes and cyclones is not ""unprecedented"". Massive flooding hurricanes happened before the advent of internal combustion.",1,2,2,1,5,3,1,3,1,1,4,1,1,1,1,3,3,3,2,5,3,2,3,3,1,1,1,1,2,,,7,1,,1,2,3,3,75028,2008,1,,6,distal
2,3/14/23 8:23,100,267,1,1,5,5,5,6,5,5,6,6,7,4,5,4,6,5,6,5,,,,,,,11,10,I would say that it describes the cause of bad weather events.,6,5,5,6,3,2,1,2,2,4,5,2,3,3,3,3,3,2,3,5,2,3,3,2,4,3,4,3,2,,,6,2,,1,2,5,3,76549,2006,1,,4,distal
2,3/27/23 12:47,100,268,1,1,5,6,5,5,6,6,7,5,6,5,7,5,5,7,5,5,,,,,,,12,12,That climate changes are here and it’s not good ,7,5,5,6,5,3,4,4,3,5,4,4,4,5,3,3,5,5,4,5,4,4,5,5,3,4,4,4,1,6,4,9,1,,2,2,4,2,77081,77081,1,,4,distal
0,3/14/23 12:11,100,217,1,1,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,10,10,N/A,,,,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,4,2,,1,2,1,3,77340,2008,5,N/A,4,proximal
2,3/14/23 8:16,100,287,1,1,5,7,5,6,7,7,7,6,7,6,2,2,3,6,6,6,,,,,,,12,12,"Because of climate change, we'll begin to see more catastrophic events happening and with greater severity.",7,6,7,7,4,3,1,2,1,3,3,5,4,4,4,1,1,5,5,5,1,1,3,4,4,4,5,5,1,1,3,6,1,,1,2,5,3,79603,2019,4,,2,distal
1,3/14/23 8:17,100,240,1,1,5,4,4,4,4,4,4,4,7,4,7,7,1,4,7,4,,,,,,,10,10,Something going on in the world that I have no clue or care about.,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,2,,,5,2,,1,1,2,3,76244,2007,3,,4,distal
2,3/13/23 8:00,100,306,1,1,5,6,5,5,5,5,6,7,5,6,6,6,4,4,7,6,,,,,,,11,11,Few paragraphs containing information on Climate change and its effect to the world,3,1,2,3,4,4,1,2,4,2,4,4,4,4,4,3,2,2,2,5,4,2,3,3,3,2,1,4,2,,,4,2,,4,2,2,"2,3",75065,2006,1,,3,distal
2,3/14/23 9:50,100,318,1,1,5,7,6,7,7,6,7,6,5,6,7,5,5,5,5,6,,,,,,,11,11,"Climate change is affecting the weather. 
It's causing more natural disaster events ",6,6,6,6,4,4,1,4,1,5,4,4,4,4,4,1,2,5,5,5,1,3,2,3,5,5,5,5,2,,,8,2,,1,2,3,3,78626,2019,4,,4,distal
0,3/14/23 12:44,100,262,1,1,5,5,5,5,5,5,5,6,5,7,6,6,5,5,6,5,11,11,Great survey and very interesting ,,,,,,,2,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,7,2,,2,2,3,3,78203,2011,4,,4,control
2,3/14/23 10:02,100,320,1,1,5,7,7,7,7,7,7,4,7,6,3,4,4,5,5,7,,,,,,,12,12,"Climate change is causing worse weather all over the planet, and is harming people.",7,7,7,6,2,3,1,3,1,2,4,3,5,5,2,1,2,5,5,5,5,2,1,4,4,4,5,5,2,,,9,1,,1,2,5,3,75249,2020,3,,2,distal
2,3/13/23 8:07,100,321,1,1,5,7,7,6,6,7,7,7,6,7,7,6,3,7,7,6,,,,,,,12,12,we need to do something climate change,7,7,7,7,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,2,,,6,1,,1,2,5,3,75143,1989,1,,7,distal
0,3/14/23 13:03,100,262,1,1,5,5,5,5,5,5,4,5,4,1,7,4,4,4,7,4,,,,,,,10,10,It's about climate change all the weather is changing ,4,4,5,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,8,2,,1,2,2,3,77551,2022,3,,4,distal
2,3/17/23 10:51,100,324,1,1,5,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,12,12,Climate change is affecting the world tremendously and as a planet we are hurting it more instead of helping it ,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,,,5,2,,2,2,2,3,76140,76140,4,,1,distal
2,3/14/23 10:10,100,328,1,1,5,3,7,7,3,6,4,1,2,2,5,3,5,2,4,4,,,,,,,10,10,Another boring story about storms and climate change. ,3,2,2,2,4,1,1,2,3,4,3,2,1,1,3,3,3,3,3,5,4,3,4,2,2,2,3,3,1,5,4,9,1,,1,2,6,3,78641,2014,1,,7,distal
0,3/14/23 13:26,100,417,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,11,None,,,,,,,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,,,6,1,,4,2,3,3,76137,2007,3,,4,control
0,3/14/23 13:30,100,677,1,1,5,4,7,7,7,5,5,5,6,6,6,2,6,5,7,5,11,12,J,,,,,,,6,6,5,5,4,4,4,2,3,4,4,3,4,4,2,3,4,4,4,5,3,4,3,2,4,5,3,4,2,,,4,1,,"2,3",1,2,3,75061,2015,5,,3,control
1,3/14/23 8:12,100,1173,1,1,5,7,7,7,7,6,7,7,7,7,7,6,5,4,6,6,,,,,,,12,11,Devastating,7,7,6,7,3,4,2,3,5,1,4,4,5,4,5,2,2,4,5,5,1,1,3,4,5,5,3,4,1,5,5,7,1,,1,1,4,3,77004,2001,4,,4,distal
2,3/29/23 21:13,100,328,1,1,5,6,5,6,7,5,6,5,6,7,6,4,5,5,7,6,,,,,,,12,11,That climate change is causing mother nature to act out and cause catastrophic events ,5,5,5,6,3,3,2,2,4,5,4,4,2,4,1,2,2,4,4,5,2,3,2,3,3,2,4,4,2,,,5,2,,1,2,6,"2,3",75154,2020,4,,4,distal
2,3/14/23 13:05,100,332,1,1,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,11,11,If I were to describe these paragraphs I would say that it is talking about climate change through the years.,6,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,,,4,2,,1,1,2,3,73301,2023,5,,7,distal
2,3/14/23 8:21,100,333,1,1,5,7,7,7,7,7,7,7,7,4,1,4,3,7,6,7,,,,,,,12,12,The worsening devastation caused by natural disasters is a result of man made climate change.,7,7,7,7,4,5,4,5,1,1,5,5,5,5,5,1,1,5,5,5,1,1,1,5,5,5,5,5,2,,,8,2,,1,2,6,3,76309,1973,4,,1,distal
0,3/14/23 14:29,100,169,1,1,5,5,3,4,6,4,3,5,5,5,2,4,5,3,5,4,,,,,,,11,10,It was about severe weather,6,4,3,4,2,1,4,3,3,3,3,1,2,2,4,4,3,3,3,3,3,3,3,3,3,3,4,4,1,4,3,6,2,,1,2,2,3,77971,2023,3,,2,distal
0,3/14/23 14:58,100,260,1,1,5,3,5,4,3,4,5,4,3,5,4,5,4,4,3,3,,,,9,10,Books ,,,,3,2,4,2,1,2,4,5,1,3,1,1,1,3,2,4,2,3,1,1,2,2,4,2,1,3,2,3,2,,,6,2,,1,2,3,3,75961,75961,1,,3,proximal
2,3/14/23 8:45,100,333,1,1,5,5,4,5,5,4,5,5,5,5,4,3,4,2,3,4,,,,,,,11,11,Climate change is real ,5,7,5,4,4,2,2,2,4,4,4,3,5,3,4,1,2,4,4,5,2,1,2,4,4,2,4,4,1,3,5,6,2,,1,2,2,3,77375,2017,3,,4,distal
2,3/14/23 8:40,100,337,1,1,5,4,6,6,4,7,7,2,7,5,1,7,5,2,5,4,,,,,,,12,11,Global warming has and will continue to cause natural disasters,5,7,6,2,2,1,1,2,2,2,1,5,5,4,5,1,1,5,5,5,1,1,2,2,3,4,5,5,2,,,6,2,,"2,3",1,4,3,76006,2022,3,,1,distal
0,3/14/23 15:52,100,226,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,10,10,I would tell them about the climate and the importance of it ,,,,,,,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,4,2,,2,2,2,3,97005,2020,1,,4,control
2,3/14/23 8:23,100,339,1,1,5,6,6,7,7,6,6,6,7,6,7,6,5,5,6,6,,,,,,,11,11,"Mother nature always wins. No matter how hard you try or what you do, she always wins. Some extreme weather events are becoming more frequent and severe as a result of climate change.",6,6,6,5,2,4,2,2,4,1,3,2,3,4,3,3,3,3,3,5,3,3,4,4,3,4,3,4,2,,,5,2,,1,2,2,3,76528,2016,1,,4,distal
0,3/14/23 16:20,100,2208,1,1,5,1,6,2,2,3,7,3,3,1,3,2,4,4,3,6,11,11,Same,,,,,,,4,3,1,3,4,2,1,1,4,4,4,4,1,2,4,4,5,1,2,5,4,3,3,4,1,4,4,4,1,1,6,7,2,,1,2,3,3,77590,1975,3,,4,control
2,3/13/23 8:13,100,340,1,1,5,5,4,7,7,4,7,7,7,7,2,4,2,6,4,7,,,,,,,12,12,Weather changes are becoming more extreme due to climate change,7,7,4,6,2,1,3,4,5,1,5,5,3,3,4,4,2,3,3,5,1,2,1,2,4,4,4,4,2,,,7,2,,1,1,3,3,78223,2012,4,,4,distal
1,3/14/23 8:39,100,764,1,1,5,6,5,6,5,5,5,6,7,6,6,6,6,7,6,7,,,,,,,11,12,just look at history over the last 100 years,6,7,6,7,4,5,3,3,1,2,4,4,4,5,5,4,4,5,4,5,5,4,5,4,4,4,5,5,2,,,9,1,,1,2,3,3,79072,2016,3,,4,distal
2,3/14/23 12:33,100,348,1,1,5,5,5,6,6,7,7,6,7,7,7,7,6,6,7,7,,,,,,,12,11,"Its nothing you can really do to prevent nature from happening, it’s what you do after. Maybe before as well like better structures for building and homes to be destroyed as easy. ",5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,3,5,2,2,3,2,3,4,4,4,1,7,7,5,2,,2,2,2,3,77040,2,4,,6,distal
